"ID_STAZ";"LAT";"LON";"GBEST";"GBNORD";"tot.precipitation.mm";"days.no.precipitation";"mean.dailyMeanTemp";"range.dailyMeanTemp";"mean.dailyMaxTemp";"mean.dailyMinTemp"
127;45,352;11,01;1657503;5024149;772,8;220;13,9308743169399;30,6;19,1349726775956;8,81967213114754
128;45,509;11,013;1657307;5041581;1053;235;13,7581967213115;30,8;19,0467213114754;9,22049180327869
129;45,453;10,772;1638607;5035006;936;213;13,5639344262295;31,5;19,305737704918;7,85710382513661
131;45,156;11,288;1679852;5003017;770,8;247;14,1748633879781;30,5;19,0346994535519;9,73251366120219
132;46,436;12,069;1735782;5147232;1293,4;193;5,65867768595041;33,5;11,5961432506887;1,1564738292011
134;45,668;11,464;1692000;5060290;1443,2;240;14,1131147540984;30,2;19,0002732240437;9,50874316939891
135;45,718;11,181;1669793;5065149;2036,6;204;8,78087431693989;26,9;12,0472677595628;5,96311475409836
136;46,569;12,708;1784181;5164160;1426,8;203;5,88079096045198;31,6;11,8358757062147;1,55141242937853
137;45,757;11,214;1672265;5069542;1591;217;11,2565573770492;27,5;15,7062841530055;7,74726775956284
139;45,783;11,588;1701210;5073345;1460;217;10,6819672131148;27,9;14,557650273224;7,48087431693989
142;45,304;11,697;1711449;5020414;1270,4;235;13,4301136363636;27,4;17,3193181818182;10,1997159090909
144;45,715;11,776;1716095;5066330;1132,8;236;14,2824657534247;29;19,0408219178082;9,8758904109589
145;45,397;11,57;1701211;5030367;1073,2;219;14,1068306010929;31,8;19,4090163934426;9,08633879781421
146;45,578;11,358;1683986;5050040;1311,2;234;14,2128415300546;28,8;18,7860655737705;10,4101092896175
147;45,719;11,576;1700519;5066236;1272,8;233;14,194262295082;28,5;18,5352459016393;10,3622950819672
148;45,474;11,471;1693183;5038765;1255,2;241;14,1609289617486;31,4;19,2614754098361;9,49726775956284
149;45,448;11,662;1708173;5036371;1000,8;209;13,9691256830601;30,4;19,1836065573771;9,36475409836066
151;45,116;11,481;1695166;4999008;889,4;203;13,7808219178082;29,5;19,3295890410959;8,70054794520548
152;45,134;11,584;1703222;5001188;853,8;247;13,8303278688525;30,1;19,1803278688525;8,84344262295082
153;45,568;11,63;1705283;5049560;1186;243;13,7844262295082;30,7;19,2158469945355;8,86338797814208
156;45,841;11,84;1720610;5080406;1584,8;231;12,0204918032787;28,5;16,7404371584699;8,21775956284153
159;45,744;12,761;1792604;5072676;1152,6;227;13,3904371584699;30,3;18,8420765027322;8,41803278688525
163;45,667;12,588;1779548;5063479;1208,8;224;13,775956284153;29;18,9415300546448;9,28087431693989
164;45,602;12,707;1789122;5056679;953;206;13,4802197802198;29,4;18,5975274725275;8,90082417582418
165;45,775;12,894;1802760;5076524;1233,4;195;13,7532786885246;29,6;18,9786885245902;9,22568306010929
166;45,704;12,946;1807248;5068864;1075,8;205;13,5385245901639;29,2;18,5065573770492;8,93469945355191
167;45,435;12,117;1743864;5036132;1059,6;245;14,0319672131148;30,7;19,2393442622951;9,38879781420765
168;45,144;12,276;1757563;5004263;994,4;212;14,2338797814208;30,4;18,5237704918033;10,0092896174863
169;45,158;11,957;1732500;5004921;923,4;214;13,8991803278689;30;19,1724043715847;9,22486338797814
175;45,243;12,099;1743297;5014716;940,4;219;14,0330601092896;30,7;18,5571038251366;9,77185792349727
177;45,593;11,75;1714504;5052654;1081,6;195;13,6747222222222;30,3;19,2586111111111;8,53916666666667
178;45,16;12,087;1742665;5005550;853,8;230;14,1311475409836;30,5;18,8035519125683;9,73387978142076
179;45,494;11,913;1727668;5042147;1139,8;231;13,9812154696133;29,8;19,6563535911602;8,88093922651934
182;45,186;11,849;1723829;5007659;831,4;216;13,9065573770492;30,6;18,9273224043716;9,48306010928962
183;45,784;12,113;1742000;5074920;1341,8;232;13,872131147541;28,7;19,0489071038251;9,41284153005464
184;45,59;12,175;1747685;5053500;1176,2;198;13,7243169398907;30,6;19,4770491803279;9,02513661202186
185;45,811;12,341;1759626;5078592;1282,8;203;13,4636612021858;29,9;18,8986338797814;8,36065573770492
186;45,891;12,493;1771060;5088027;1288,4;225;13,6672131147541;31,8;19,8213114754098;8,08633879781421
187;45,64;12,396;1764703;5059832;1211,6;189;13,2051912568306;30,5;18,9715846994536;7,8568306010929
188;45,748;12,235;1751649;5071267;1155,2;189;13,5225274725275;30,8;19,7354395604396;8,27032967032967
189;45,881;12,007;1733368;5085364;1543,4;221;13,45;28,3;17,9546448087432;9,63743169398907
191;45,832;11,255;1675208;5078024;1609,2;209;10,2833333333333;27,4;15,4524590163934;6,40491803278689
192;45,776;11,238;1674012;5071777;1704,2;206;8,53579234972678;27,5;11,8270491803279;5,77786885245902
195;45,901;12,104;1740846;5087888;1492,4;197;13,3338797814208;28,4;18,5510928961749;8,71612021857923
196;45,765;12,524;1774069;5074080;1232,6;211;13,6358904109589;31,1;19,2493150684931;8,87123287671233
197;45,778;11,942;1728768;5073708;1291,4;218;13,618306010929;30;18,6819672131148;8,94371584699454
198;45,717;12,338;1759803;5068127;965,2;261;NA;-Inf;NA;NA
199;46,26;12,303;1754623;5128442;1585,8;216;11,5814207650273;29,6;16,8535519125683;7,90901639344262
201;45,361;11,673;1709358;5026653;0;366;12,8390710382514;28,3;16,5871584699454;9,83907103825137
203;46,338;11,801;1715631;5135568;1222,8;197;3,25928961748634;30,6;6,98743169398907;0,129508196721312
204;45,716;12,524;1774311;5068689;1307,2;189;13,1540983606557;30,7;18,8806010928962;7,74808743169399
211;45,226;12,145;1746929;5012991;915,2;192;14,025956284153;30,8;18,325956284153;9,96120218579235
216;46,076;12,414;1764055;5108352;1948,2;190;6,42520547945206;30,9;12,6441095890411;1,14164383561644
217;46,015;11,894;1724099;5099945;1290,8;226;11,0963788300836;31,1;17,9286908077994;5,96155988857939
218;45,882;11,511;1694869;5084184;1152,8;226;7,12960893854749;30,3;13,245530726257;0,864804469273743
219;46,436;12,242;1749124;5147757;0;366;7,38142076502732;29,8;12,6672131147541;3,69180327868852
221;45,021;11,426;1691214;4988242;870,6;196;14,1237704918033;30,1;19,5021857923497;9,42704918032787
223;46,354;11,869;1720787;5137567;1105,6;196;6,87540983606557;31,5;12,6385245901639;2,45382513661202
224;46,414;12,332;1756116;5145629;1220,2;207;9,12240896358543;30,5;15,0044817927171;4,81484593837535
227;45,58;12,308;1758086;5052812;1144,6;231;13,813698630137;30,4;18,8876712328767;9,20547945205479
