FID,statcd,statnm,descrizione,dataora,media,minimo,massimo,media_lbl,geom,cd
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78bc,137,Valli del Pasubio,Temperatura aria a 2m,2024-05-27T00:00:00,17.4,12.5,21.9,17.4,POINT (1672182.737 5069540.963),3130
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78bd,76,Turcati (Recoaro Terme),Temperatura aria a 2m,2024-05-27T00:00:00,17.5,12.6,23.1,17.5,POINT (1670124.49 5063510.027),1978
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78be,59,Domegge di Cadore,Temperatura aria a 2m,2024-05-27T00:00:00,14.3,10.1,21,14.3,POINT (1761890.685 5150944.043),3108
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78bf,83,Montecchio Precalcino,Temperatura aria a 2m,2024-05-27T00:00:00,21.3,14.8,27.3,21.3,POINT (1698514 5059321),7
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78c0,87,San Bortolo,Temperatura aria a 2m,2024-05-27T00:00:00,16.4,12.5,20.5,16.4,POINT (1670124 5052891),2780
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78c1,166,Lugugnana (Portogruaro),Temperatura aria a 2m,2024-05-27T00:00:00,20.7,14.8,26,20.7,POINT (1807248 5068864),1155
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78c2,425,Bibione,Temperatura aria a 2m,2024-05-27T00:00:00,20.1,14,24.3,20.1,POINT (1817788 5062316.333),7636
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78c3,240,Vittorio Veneto,Temperatura aria a 2m,2024-05-27T00:00:00,21.1,15.2,26.7,21.1,POINT (1756209 5097768),2364
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78c4,389,Casera Doana,Temperatura aria a 8m,2024-05-27T00:00:00,8.1,6.1,11.8,8.1,POINT (1771820.685 5153632.062),6428
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78c5,390,Malga Losch,Temperatura aria a 8m,2024-05-27T00:00:00,9.5,7.4,12.9,9.5,POINT (1728098.729 5127482.565),6450
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78c6,3,Arabba,Temperatura aria a 2m,2024-05-27T00:00:00,9.6,5.7,15.1,9.6,POINT (1720711.174 5153644.921),1701
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78c7,9,Caprile,Temperatura aria a 2m,2024-05-27T00:00:00,13,7.7,20.3,13,POINT (1729706.442 5147353.788),1737
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78c8,11,Malga Ciapela,Temperatura aria a 2m,2024-05-27T00:00:00,10.1,5.1,17.1,10.1,POINT (1723206 5145802),1759
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78c9,17,Perarolo,Temperatura aria a 2m,2024-05-27T00:00:00,14.9,10.7,22.8,14.9,POINT (1758079 5143342),3280
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78ca,41,Marmolada - Punta Rocca,Temperatura aria a 2m,2024-05-27T00:00:00,-1.5,-4.7,0.6,-1.5,POINT (1719960 5146229),3099
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78cb,47,Faloria,Temperatura aria a 2m,2024-05-27T00:00:00,5.9,3.6,10.5,5.9,POINT (1743531 5157576),1844
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78cc,50,Villanova (Borca di Cadore),Temperatura aria a 2m,2024-05-27T00:00:00,12.3,8,19.3,12.3,POINT (1746301.73 5148320.301),1862
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78cd,100,Conegliano,Temperatura aria a 2m,2024-05-27T00:00:00,21.6,16.3,26.3,21.6,POINT (1754728 5086125),681
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78ce,91,Passo Monte Croce Comelico,Temperatura aria a 2m,2024-05-27T00:00:00,9.7,5.8,14.5,9.7,POINT (1762015 5172231),2121
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78cf,92,Col Indes (Tambre),Temperatura aria a 2m,2024-05-27T00:00:00,13.6,9.6,18.9,13.6,POINT (1765830.069 5113060.948),2129
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78d0,148,Brendola,Temperatura aria a 2m,2024-05-27T00:00:00,21.7,14.2,27,21.7,POINT (1693036.753 5038382.979),932
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78d1,168,Chioggia - Sant'Anna,Temperatura aria a 2m,2024-05-27T00:00:00,20.5,15,24.3,20.5,POINT (1757563.547 5004260.566),1189
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78d2,251,Bosco Chiesanuova,Temperatura aria a 2m,2024-05-27T00:00:00,15.1,10.7,18.8,15.1,POINT (1658960 5053799),2406
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78d3,264,Belluno - aeroporto,Temperatura aria a 2m,2024-05-27T00:00:00,17.4,10,25.6,17.4,POINT (1750560.407 5117458.213),5286
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78d4,383,Cima Pradazzo,Temperatura aria a 8m,2024-05-27T00:00:00,6.4,4.6,8.4,6.4,POINT (1717185.547 5137487.527),6268
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78d5,15,Gares,Temperatura aria a 2m,2024-05-27T00:00:00,11.2,7.4,16.9,11.2,POINT (1721980 5132902),0
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78d6,409,Chiampo,Temperatura aria a 2m,2024-05-27T00:00:00,20.9,14.3,26.6,20.9,POINT (1679122 5045128),7134
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78d7,21,Sant'Andrea (Gosaldo),Temperatura aria a 2m,2024-05-27T00:00:00,11.5,7.9,16.6,11.5,POINT (1728100.043 5123840.175),1800
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78d8,22,Sant'Antonio Tortal,Temperatura aria a 2m,2024-05-27T00:00:00,16.6,11.5,22.7,16.6,POINT (1744072 5104281),1810
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78d9,37,Passo Falzarego,Temperatura aria a 2m,2024-05-27T00:00:00,6.5,3.5,10.4,6.5,POINT (1730665 5156102),1836
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78da,25,Sospirolo,Temperatura aria a 2m,2024-05-27T00:00:00,17.2,12,23.8,17.2,POINT (1737556.679 5114295.114),3093
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78db,48,Podestagno (Cortina d'Ampezzo),Temperatura aria a 2m,2024-05-27T00:00:00,10.8,6.3,18.2,10.8,POINT (1738424.428 5164737.027),1854
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78dc,55,Pian del Crep (Val di Zoldo),Temperatura aria a 2m,2024-05-27T00:00:00,9.7,6.5,15.6,9.7,POINT (1737890 5140871),1888
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78dd,385,Ra Valles,Termometro compensazione infrarossi,2024-05-27T00:00:00,3.7,0.9,10.8,3.7,POINT (1735908.482 5159691.334),13469
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78de,385,Ra Valles,Temperatura aria a 8m,2024-05-27T00:00:00,3.1,1.7,5,3.1,POINT (1735908.482 5159691.334),6338
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78df,145,Barbarano Vicentino,Temperatura aria a 2m,2024-05-27T00:00:00,21.2,12.3,27.9,21.2,POINT (1701220.172 5030372.636),881
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78e0,146,Trissino,Temperatura aria a 2m,2024-05-27T00:00:00,21.3,16.2,26.7,21.3,POINT (1683984 5050025),898
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78e1,147,Breganze,Temperatura aria a 2m,2024-05-27T00:00:00,21,14.6,26.6,21,POINT (1700518.647 5066235.074),915
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78e2,140,Passo Santa Caterina (Valdagno),Temperatura aria a 2m,2024-05-27T00:00:00,17.8,12.6,22.4,17.8,POINT (1676150.145 5054312.593),2202
